SCC: ,SCC Descriptions: ,PM25-PRI (kg) Emissions,PM2_5 (kg) Emissions,Deaths from PM25-PRI to TotalPop,Deaths from PM2_5 to TotalPop,Deaths from PM25-PRI to WhiteNoLat,Deaths from PM2_5 to WhiteNoLat,Deaths from PM25-PRI to Black,Deaths from PM2_5 to Black,Deaths from PM25-PRI to Native,Deaths from PM2_5 to Native,Deaths from PM25-PRI to Asian,Deaths from PM2_5 to Asian,Deaths from PM25-PRI to Other,Deaths from PM2_5 to Other,Deaths from PM25-PRI to Latino,Deaths from PM2_5 to Latino,Deaths from PM25-PRI to Poverty,Deaths from PM2_5 to Poverty,Deaths from PM25-PRI to TwoXPov,Deaths from PM2_5 to TwoXPov
2294000002,"""Mobile Sources;Paved Roads;All Paved Roads;Total: Sanding/Salting - Fugitives""",631.314577425,,0.0072201118,0,0.0044614949,0,0.0002352843,0,8.95614782672169E-05,0,0.000340122,0,0.0002188687,0,0.0018747803,0,0.0012599938,0,0.0042440688,0
2325000000,"""Industrial Processes;Mining and Quarrying: SIC 14;All Processes;Total""",52667018.7376173,,561.2083109566,0,355.1387654748,0,90.0259485877,0,3.6170100888,0,21.6969192119,0,11.7860900119,0,78.9435775664,0,85.5468716919,0,355.1348850873,0
2294000000,"""Mobile Sources;Paved Roads;All Paved Roads;Total: Fugitives""",46946552.0090835,212679525.883949,1492.5531780801,4525.8131783351,728.6332047176,2764.1987805861,224.619157939,817.9245253964,5.5454984874,16.9545401603,126.4147603025,176.3489923795,37.9269954627,89.3031113591,369.4135619755,661.0832294985,225.6114643165,720.352201823,966.468390992,2850.8358126616
2325030000,"""Industrial Processes;Mining and Quarrying: SIC 14;Sand and Gravel;Total""",665548.043362592,,12.396319563,0,7.5635087789,0,0.8787596914,0,0.0491199408,0,0.7489742326,0,0.3886655775,0,2.7672913569,0,1.6128994925,0,8.3775675463,0
2296010000,"""Mobile Sources;Unpaved Roads;Industrial Unpaved Roads;Total: Fugitives""",101846.03121,,2.9469436615,0,1.6529221903,0,0.1575498614,0,0.0483964041,0,0.0918281909,0,0.0587127227,0,0.9375342927,0,0.5076336441,0,1.8156601893,0
2311040000,"""Industrial Processes;Construction: SIC 15 - 17;Special Trade Construction;Total""",31499.7311625,,1.8836731821,0,0.987699972,0,0.09990111,0,0.0329068141,0,0.0593671151,0,0.0389285713,0,0.6648696,0,0.3647992284,0,1.0933136686,0
2311010000,"""Industrial Processes;Construction: SIC 15 - 17;Residential;Total""",11266820.0075774,,637.6484500066,0,254.211401022,0,52.8205724337,0,2.1381932393,0,112.8882186122,0,22.0021842286,0,193.5878802316,0,93.4286938372,0,416.3214807017,0
2801000000,"""Miscellaneous Area Sources;Agriculture Production - Crops;Agriculture - Crops;Total""",93598.625676327,,0.8949010418,0,0.5089618718,0,0.2095601723,0,0.0072375197,0,0.0175017317,0,0.0143414342,0,0.13729831,0,0.170296697,0,0.5068598565,0
2275085000,"""Mobile Sources;Aircraft;Unpaved Airstrips;Total""",1027.157494695,,0.0086918931,0,0.0050105006,0,0.0029458568,0,0.000019833,0,0.0001278323,0,0.0001343927,0,0.0004534778,0,0.0017256665,0,0.0047321128,0
2311000000,"""Industrial Processes;Construction: SIC 15 - 17;All Processes;Total""",3897.85643025,,0.1095986799,0,0.0642940805,0,0.0033485621,0,0.0013496041,0,0.0054080192,0,0.0035202972,0,0.0316781169,0,0.0203614301,0,0.0620906863,0
2296000000,"""Mobile Sources;Unpaved Roads;All Unpaved Roads;Total: Fugitives""",58687171.6037271,929537613.354504,679.6273910971,10855.7202387106,454.8576359887,7359.7705074951,76.0846345965,1614.2064456973,3.6648751039,76.3506721147,26.6220727279,292.8953722321,16.189098731,221.9814024218,102.2090741606,1290.5158379045,97.6279985735,1660.6451448416,440.7790245988,6851.2196867678
